trade_date,ts_code,priority,priority_name,priority_model_count,avg_pred,avg_pred_rank,avg_rank_raw,seed_pred_cv,vote4_top3_count,avg_pred_top1,vote3_top3,vote4_strict_top3,avg_hi_hktech40_n22530,vote4_hi_hktech40_n22530,vote4_hi_plus_avg_hi,vote4_hi_plus_avg_broad_hktech20,priority1a_signal,priority1b_signal,priority1b_raw_signal,priority1_signal,priority2_signal,priority3_raw_signal,priority3_signal,turnover_prank_1500,hktech_swing,n225_swing,spx_swing,hsi_ret_lag1,ret_5_rel_csi1500_ew,pred_seed20260710,rank_seed20260710,pred_seed20260711,rank_seed20260711,pred_seed20260712,rank_seed20260712,pred_seed20260713,rank_seed20260713,pred_seed20260714,rank_seed20260714
20260710,688523.SH,0,,0,0.4184892845142943,18.0,32.6,0.06131759282087282,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9565217391304348,3.31,1.63,0.87,-0.006995,0.07235331314768839,0.432342715743171,18.0,0.39536089594498575,74.0,0.46233395078985756,15.0,0.4059817102894164,24.0,0.39642714980404076,32.0
20260710,002414.SZ,0,,0,0.4177329191513012,19.0,36.8,0.05631953202721333,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9172510518934082,3.31,1.63,0.87,-0.006995,0.17781483865623,0.4271940204359786,23.0,0.45931425929925934,5.0,0.40785609673382994,92.0,0.39571652887512576,38.0,0.39858369041231234,26.0
20260710,001203.SZ,0,,0,0.4172696288914177,20.0,49.6,0.07792314428882699,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6921458625525947,3.31,1.63,0.87,-0.006995,-0.055544154020192804,0.4560348522849584,4.0,0.36568517139397366,132.0,0.4024265190038962,96.0,0.44721747327652644,1.0,0.414984128497734,15.0
20260710,688150.SH,0,,0,0.4162688121213562,21.0,32.6,0.04722680541220127,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6409537166900421,3.31,1.63,0.87,-0.006995,-0.0728191112553564,0.4318838658553136,19.0,0.4033451905028778,51.0,0.4464764046511076,28.0,0.3939939659563375,42.0,0.4056446336411447,23.0
20260710,688352.SH,0,,0,0.4158770129785118,22.0,34.6,0.04831682905201753,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9081346423562412,3.31,1.63,0.87,-0.006995,0.07427415971538937,0.4210131112131815,29.0,0.4376048653637211,18.0,0.4357747757833002,44.0,0.3885536446625861,51.0,0.39643866786977017,31.0
20260710,002484.SZ,0,,0,0.415320232693134,23.0,33.4,0.057041362577321134,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7601683029453016,3.31,1.63,0.87,-0.006995,-0.08960060145837584,0.41940347018328855,33.0,0.41855579220980993,28.0,0.45336633235727797,22.0,0.4049371448750279,27.0,0.38033842384026556,57.0
20260710,603698.SH,0,,0,0.41432471575616237,24.0,34.2,0.03805206851502423,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9887798036465638,3.31,1.63,0.87,-0.006995,0.07513339240575828,0.4239249288307935,28.0,0.41746114471984835,30.0,0.43324919936663203,51.0,0.410357314061143,19.0,0.3866309918023951,43.0
20260710,688333.SH,0,,0,0.4143157792937885,25.0,38.0,0.033908465066606115,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9768583450210379,3.31,1.63,0.87,-0.006995,0.02309396710141659,0.4246907420901893,26.0,0.3994890508178128,65.0,0.4282249684460969,58.0,0.42409890597590494,8.0,0.3950752291389383,33.0
20260710,300346.SZ,0,,0,0.41421115582727097,26.0,38.4,0.06845892928365654,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9607293127629734,3.31,1.63,0.87,-0.006995,-0.044062258694061496,0.43895599966519555,13.0,0.39794507689789865,68.0,0.45506489633062697,21.0,0.4008955228290641,30.0,0.3781942834135698,60.0
20260710,688515.SH,0,,0,0.41383688598017754,27.0,46.6,0.10610919816088306,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9046283309957924,3.31,1.63,0.87,-0.006995,-0.020647170800166703,0.4434750140430915,11.0,0.43878774238553664,16.0,0.46417076919050737,13.0,0.36853111840758557,76.0,0.3542197858741667,117.0
20260710,600105.SH,0,,0,0.41235720851626534,28.0,39.2,0.06760831148161359,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9144460028050491,3.31,1.63,0.87,-0.006995,-0.07360997047092027,0.40129742684503095,54.0,0.4475669493355059,9.0,0.44349094810348905,32.0,0.38106622693486,60.0,0.38836449136244094,41.0
20260710,000636.SZ,0,,0,0.41197173333048065,29.0,37.0,0.04690960550868336,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9011220196353437,3.31,1.63,0.87,-0.006995,-0.018212750597656535,0.41652854271588047,37.0,0.4233088044836249,23.0,0.4383521482026207,40.0,0.39885279934297335,34.0,0.38281637190730405,51.0
20260710,688362.SH,0,,0,0.41015596788035824,30.0,41.0,0.048367255845283064,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9614305750350631,3.31,1.63,0.87,-0.006995,0.20739132514553088,0.419432055905667,32.0,0.42397297339460216,22.0,0.4317220557602591,54.0,0.39851473334602605,36.0,0.3771380209952367,61.0
