feature,importance_gain,importance_split
realized_vol_5m_lag3,1170.969009399414,6
vwap_log_ret_20_lag5,1157.4293060302734,10
mkt_ret_spread_lag5,1142.6010093688965,9
realized_down_semivar_lag3,1133.974998474121,7
csi1500_ew_mom_5,1133.5520935058594,7
xin9_swing_lag5,1122.812400817871,12
spx_vol_z,1102.5227165222168,12
csi1500_ew_mom_2,1094.7687873840332,6
mkt_flow_concentration,1087.9194107055664,10
turnover_f_cs_rank_lag2,1079.1349067687988,6
ixic_ret_lag3,1070.7129020690918,13
turnover_f_log_lag6,1066.368995666504,6
csi1500_mcap_mom_20_lag5,1058.8320007324219,13
sw_l2_ret_std_20,1054.206714630127,7
hktech_ret_lag2,1048.274803161621,11
xin9_ret_lag2,1047.827507019043,10
turnover_f_cs_rank_lag15,1045.6840896606445,9
vol_over_sw_l2_vol_lag10,1043.7675018310547,8
csi1500_mcap_max_weight,1036.9248123168945,11
hktech_swing,1035.7303924560547,12
spx_ret_lag2,1029.0284957885742,13
max_5m_range_lag5,1013.7075042724609,5
mkt_ret_sz_lag1,1012.0620956420898,7
sw_l2_mom_20,1011.6041069030762,9
csi1500_ew_mom_5_lag1,1003.0643844604492,10
min_15m_ret_lag2,991.6008148193359,5
sw_l2_mom_5,990.6203765869141,11
beta_to_csi1500_ew_20d,989.2017021179199,9
realized_vol_1m,980.7840042114258,6
mkt_mf_inst_ma_10,973.5653915405273,6
mkt_ret_spread_lag2,972.3422927856445,9
csi1500_mcap_oc_ret_lag1,969.0796966552734,9
csi1500_ew_ret_std_20_lag2,968.4304122924805,13
spx_vol_z_lag5,955.9523086547852,9
mkt_mf_inst_rate_lag8,947.3280944824219,9
csi1500_mcap_mom_20_lag3,941.2587051391602,9
ixic_swing_lag3,938.0178985595703,11
csi1500_mcap_oc_ret_lag2,937.5029983520508,10
vwap_z_lag2,933.6534957885742,10
mkt_limit_up_count_lag5,932.9735908508301,10
ret_3,928.0247077941895,8
turnover_f_cs_rank_lag5,927.1013946533203,5
sw_l2_ret_rel_mkt_rank_accel5,922.1736946105957,8
spx_swing,912.2743949890137,11
csi1500_ew_ret_std_20,906.1337928771973,9
vwap_low_ratio,903.6535110473633,4
csi1500_mcap_top10_weight_lag5,896.058895111084,9
ixic_ret_lag5,893.5202026367188,8
csi1500_ew_gt_2pct_ratio_lag2,890.2171859741211,10
days_since_last_limit_up_60,884.6047897338867,9
mkt_limit_up_count,883.484302520752,9
mkt_mf_inst_ma_10_lag5,878.8091888427734,10
beta_to_csi1500_ew_20d_lag2,876.0276031494141,9
turnover_f_cs_rank_lag3,874.2216949462891,6
turnover_f_log_lag2,872.4280090332031,2
n225_ret,870.9368019104004,10
hsi_swing_lag3,869.1653938293457,11
fd_ratio,868.5171051025391,4
mkt_ret_spread,860.7798919677734,10
ret_3_rel_csi1500_ew_lag1,858.6835174560547,5
csi1500_ew_gt_2pct_ratio,858.6549987792969,8
intraday_max_drawdown_lag5,854.0069961547852,6
turnover_prank_1500_lag4,852.1130065917969,4
beta_to_csi1500_ew_20d_lag1,838.0280990600586,7
beta_to_csi1500_mcap_20d_lag10,827.1887016296387,9
ret_5_rel_csi1500_mcap,825.6250038146973,7
n225_swing,823.1010971069336,10
csi1500_mcap_max_weight_lag5,820.4086074829102,8
sw_l2_mom20_rel_csi1500_ew,816.6816024780273,9
hsi_swing,810.894905090332,9
hsi_swing_lag2,808.2126922607422,9
xin9_ret_lag5,806.883903503418,10
sw_l2_market_alpha_ew_5,804.108699798584,7
sw_l2_range_pct_lag3,801.9537124633789,8
vwap_z,794.726505279541,9
mkt_mf_inst_rate_lag6,794.5114936828613,7
hsi_ret_lag3,793.3916130065918,9
min_10m_ret_lag3,792.8899841308594,4
max_5m_ret_lag2,792.1580047607422,4
mkt_mf_inst_rate_lag5,788.6930084228516,4
turnover_prank_1500_lag5,779.6339950561523,4
sw_l2_range_z_20_lag3,778.4468994140625,8
csi1500_ew_mom_5_lag5,777.6360092163086,8
mkt_mf_inst_rate_lag9,776.8394927978516,9
n225_swing_lag1,776.3228912353516,9
beta_to_csi1500_mcap_20d_lag2,776.0245094299316,6
csi1500_mcap_mom_2_lag3,775.2899017333984,9
turnover_f_cs_rank_lag4,774.8990173339844,2
min_10m_ret_lag2,773.0489959716797,3
turnover_rel_1500,770.0982933044434,8
csi1500_ew_mom_2_lag3,769.9430999755859,7
mkt_flow_concentration_lag3,768.5036926269531,8
sw_l2_ret_rel_csi1500_ew,766.965087890625,8
csi1500_mcap_top10_weight_lag2,759.3811111450195,9
csi1500_ew_up_ratio,756.9906845092773,7
morning_range_lag3,756.119987487793,4
circ_mv_cs_rank_lag10,755.5713005065918,6
vwap_log_ret_20,753.6240768432617,7
csi1500_mcap_mom_10_lag2,748.8796920776367,7
csi1500_mcap_coverage_ratio,746.7094192504883,2
vwap_log_ret_3,745.1819076538086,6
short_pressure,743.5875053405762,9
turnover_prank_1500_lag15,734.3349990844727,6
hurst_intraday_lag5,728.9439010620117,6
csi1500_ew_lt_minus_2pct_ratio_lag3,727.8709030151367,8
mkt_limit_up_count_lag2,727.2713012695312,8
csi1500_ew_mom_10_lag2,724.7618942260742,8
sw_l2_ret_1_lag15,723.836799621582,9
ixic_swing_lag1,720.2490081787109,7
sw_l2_market_alpha_mcap_5_lag3,718.486988067627,6
csi1500_coverage_ratio,717.7836990356445,4
sw_l2_market_beta_mcap_20d_lag3,716.7783851623535,9
