model,ts_code,trade_date,priority_name,priority,target
h3m55d15_consensus,300182.SZ,20260210,KEEP60_ONLY,2,
h3m55d15_consensus,002506.SZ,20260209,KEEP60_ONLY,2,
h3m55d15_consensus,002534.SZ,20260209,KEEP60_ONLY,2,
h3m55d15_consensus,301262.SZ,20260209,KEEP60_ONLY,2,
h3m55d15_consensus,603667.SH,20260206,CURRENT_ONLY,2,
h3m55d15_consensus,603881.SH,20260206,CURRENT_ONLY,2,
h3m55d15_consensus,002985.SZ,20260205,CURRENT_ONLY,2,
h3m55d15_consensus,603103.SH,20260205,CURRENT_ONLY,2,
h3m55d15_consensus,002126.SZ,20260204,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600330.SH,20260204,KEEP60_ONLY,2,
h3m55d15_consensus,601096.SH,20260204,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600986.SH,20260203,KEEP60_ONLY,2,
h3m55d15_consensus,603103.SH,20260203,KEEP60_ONLY,2,
h3m55d15_consensus,688516.SH,20260203,KEEP60_ONLY,2,
h3m55d15_consensus,002498.SZ,20260202,KEEP60_AND_CURRENT,2,
h3m55d15_consensus,600550.SH,20260202,KEEP60_ONLY,2,
h3m55d15_consensus,603103.SH,20260202,KEEP60_AND_CURRENT,2,
h3m55d15_consensus,600667.SH,20260130,CURRENT_ONLY,2,
h3m55d15_consensus,601869.SH,20260130,CURRENT_ONLY,2,
h3m55d15_consensus,000737.SZ,20260129,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600531.SH,20260129,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,601069.SH,20260129,KEEP60_ONLY,2,
h3m55d15_consensus,000620.SZ,20260128,KEEP60_ONLY,2,
h3m55d15_consensus,301500.SZ,20260128,KEEP60_ONLY,2,
h3m55d15_consensus,600916.SH,20260128,KEEP60_ONLY,2,
h3m55d15_consensus,600531.SH,20260127,CURRENT_ONLY,2,
h3m55d15_consensus,601212.SH,20260127,CURRENT_ONLY,2,
h3m55d15_consensus,000426.SZ,20260126,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002716.SZ,20260126,KEEP60_ONLY,2,
h3m55d15_consensus,688158.SH,20260126,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,300751.SZ,20260123,KEEP60_ONLY,2,
h3m55d15_consensus,600531.SH,20260123,KEEP60_ONLY,2,
