ts_code,trade_date,priority_name,priority,T0_open,T0_close,T0_high,T1_open,T1_close,T1_high,T2_open,T2_close,T2_high,T3_open,T3_close,T3_high,T4_open,T4_close,T4_high,T5_open,T5_close,T5_high,buy,sell,return,target
600487.SH,20260707,,0.0,84.6,80.89,85.24,81.78,76.96,82.5,78.18,80.06,80.58,80.8,77.79,86.39,75.08,70.01,76.33,69.0,74.38,74.39,81.78,78.18,-0.044020542920029326,0
688432.SH,20260707,,0.0,38.98,46.14,46.14,47.86,44.81,50.1,45.93,53.77,53.77,52.31,56.6,60.78,51.5,49.1,55.41,49.0,48.38,49.0,47.86,45.93,-0.04032595068951106,0
300319.SZ,20260706,,0.0,26.55,23.87,26.78,23.46,22.92,24.27,23.25,21.39,23.39,21.81,22.22,22.58,22.83,20.62,23.18,20.61,18.85,20.88,23.46,21.39,-0.08823529411764708,0
301171.SZ,20260706,,0.0,31.88,29.35,32.37,29.21,28.85,29.96,28.86,29.2,29.79,28.92,29.91,30.9,29.15,31.11,33.71,30.75,28.77,31.49,29.21,31.546800000000005,0.08000000000000007,1
301458.SZ,20260706,,0.0,52.0,51.41,53.27,51.12,49.41,51.4,49.9,48.3,50.78,48.55,50.32,50.49,50.31,46.94,51.15,46.25,42.56,46.8,51.12,48.3,-0.055164319248826255,0
002635.SZ,20260703,,0.0,21.88,23.36,23.36,23.14,21.02,23.14,19.93,19.84,20.79,19.72,17.89,19.93,18.06,17.81,18.16,17.76,17.36,18.27,23.14,19.93,-0.13872082973206568,0
002897.SZ,20260703,P3_global_china_expansion,3.0,80.71,77.7,82.35,77.74,82.1,85.47,80.72,82.78,86.75,84.14,83.35,88.0,82.5,88.55,89.32,88.51,82.33,91.0,77.74,83.9592,0.08000000000000007,1
300319.SZ,20260703,P3_global_china_expansion,3.0,28.18,26.18,28.5,26.55,23.87,26.78,23.46,22.92,24.27,23.25,21.39,23.39,21.81,22.22,22.58,22.83,20.62,23.18,26.55,23.46,-0.11638418079096047,0
002354.SZ,20260702,,0.0,10.0,10.34,10.34,10.32,9.37,10.32,9.57,8.43,9.75,8.44,8.71,9.11,8.5,8.02,8.6,8.0,8.08,8.42,10.32,9.57,-0.07267441860465118,0
600903.SH,20260702,P3_global_china_expansion,3.0,6.88,6.89,7.26,6.93,6.8,6.99,6.75,6.68,7.0,6.62,6.36,6.7,6.58,6.25,6.58,6.25,6.18,6.32,6.93,6.36,-0.08225108225108213,0
603567.SH,20260702,,0.0,4.82,4.76,5.04,4.8,4.79,4.98,4.74,4.77,4.9,4.76,4.65,4.83,4.66,4.67,4.76,4.67,4.62,4.76,4.8,4.62,-0.03749999999999998,0
002273.SZ,20260701,P1B_low_turnover_exception,1.0,39.03,39.03,39.03,40.0,39.02,42.18,39.24,36.98,39.86,36.06,35.55,38.09,35.27,34.17,35.88,34.51,32.04,34.75,40.0,36.98,-0.07550000000000012,0
600903.SH,20260701,P3_global_china_expansion,3.0,6.64,6.9,7.3,6.88,6.89,7.26,6.93,6.8,6.99,6.75,6.68,7.0,6.62,6.36,6.7,6.58,6.25,6.58,6.88,6.36,-0.07558139534883712,0
601991.SH,20260701,,0.0,7.01,7.79,7.79,8.0,7.33,8.2,7.3,7.67,7.7,7.6,7.39,7.94,7.22,7.0,7.55,6.9,6.95,7.18,8.0,7.3,-0.08750000000000002,0
603567.SH,20260701,,0.0,4.44,4.82,4.82,4.82,4.76,5.04,4.8,4.79,4.98,4.74,4.77,4.9,4.76,4.65,4.83,4.66,4.67,4.76,4.82,4.67,-0.03112033195020758,0
002273.SZ,20260630,,0.0,35.35,35.48,35.48,39.03,39.03,39.03,40.0,39.02,42.18,39.24,36.98,39.86,36.06,35.55,38.09,35.27,34.17,35.88,39.03,42.15240000000001,0.08000000000000007,1
301458.SZ,20260630,,0.0,58.04,58.46,61.4,58.58,58.05,61.57,55.0,54.33,57.85,54.0,50.99,54.5,52.0,51.41,53.27,51.12,49.41,51.4,58.58,54.33,-0.07255035848412428,0
601991.SH,20260630,P3_global_china_expansion,3.0,6.97,7.08,7.26,7.01,7.79,7.79,8.0,7.33,8.2,7.3,7.67,7.7,7.6,7.39,7.94,7.22,7.0,7.55,7.01,8.0,0.14122681883024257,1
002929.SZ,20260629,,0.0,62.23,60.8,65.24,61.45,66.88,66.88,68.74,73.57,73.57,71.99,69.65,74.23,69.65,68.99,72.0,68.99,63.75,69.99,61.45,68.74,0.11863303498779487,1
601991.SH,20260629,,0.0,7.1,7.04,7.35,6.97,7.08,7.26,7.01,7.79,7.79,8.0,7.33,8.2,7.3,7.67,7.7,7.6,7.39,7.94,6.97,7.5276000000000005,0.08000000000000007,1
603567.SH,20260629,P3_global_china_expansion,3.0,4.33,4.46,4.58,4.47,4.38,4.64,4.44,4.82,4.82,4.82,4.76,5.04,4.8,4.79,4.98,4.74,4.77,4.9,4.47,4.8276,0.08000000000000007,1
002929.SZ,20260626,,0.0,67.36,62.9,69.58,62.23,60.8,65.24,61.45,66.88,66.88,68.74,73.57,73.57,71.99,69.65,74.23,69.65,68.99,72.0,62.23,68.74,0.10461192350956128,1
002965.SZ,20260626,,0.0,48.52,51.88,51.88,50.0,49.51,53.38,49.52,50.95,52.18,53.5,50.92,54.51,50.01,51.18,52.57,50.77,52.6,53.5,50.0,54.0,0.08000000000000007,1
603567.SH,20260626,P3_global_china_expansion,3.0,4.55,4.28,4.56,4.33,4.46,4.58,4.47,4.38,4.64,4.44,4.82,4.82,4.82,4.76,5.04,4.8,4.79,4.98,4.33,4.6764,0.08000000000000007,1
600667.SH,20260625,P1B_low_turnover_exception,1.0,25.31,25.31,25.31,26.29,26.88,27.84,27.84,29.0,29.5,27.96,29.18,29.7,28.86,32.1,32.1,29.62,28.89,31.05,26.29,28.3932,0.08000000000000007,1
600903.SH,20260625,,0.0,7.25,7.99,7.99,8.14,7.26,8.14,7.26,6.8,7.3,6.86,6.64,6.93,6.64,6.9,7.3,6.88,6.89,7.26,8.14,7.26,-0.10810810810810823,0
603567.SH,20260625,P3_global_china_expansion,3.0,4.79,4.54,4.92,4.55,4.28,4.56,4.33,4.46,4.58,4.47,4.38,4.64,4.44,4.82,4.82,4.82,4.76,5.04,4.55,4.33,-0.04835164835164829,0
002354.SZ,20260624,,0.0,8.21,8.92,8.92,8.49,8.03,8.57,8.23,8.83,8.83,9.17,9.11,9.68,9.25,9.3,9.57,9.11,9.4,9.87,8.49,8.23,-0.03062426383981154,0
600563.SH,20260624,,0.0,162.45,178.76,178.76,183.0,190.04,191.55,188.0,188.76,195.5,191.0,189.4,198.8,186.0,190.8,195.68,192.2,182.55,195.2,183.0,197.64000000000001,0.08000000000000007,1
600667.SH,20260624,,0.0,20.49,23.01,23.01,25.31,25.31,25.31,26.29,26.88,27.84,27.84,29.0,29.5,27.96,29.18,29.7,28.86,32.1,32.1,25.31,27.3348,0.08000000000000007,1
002484.SZ,20260623,,0.0,103.0,94.5,103.0,94.78,100.93,102.85,104.86,111.02,111.02,113.01,109.0,115.44,110.35,106.0,114.5,104.59,105.0,108.68,94.78,104.86,0.10635155096011806,1
300085.SZ,20260623,,0.0,35.02,38.82,38.82,38.0,38.54,39.66,37.51,38.62,40.84,38.1,36.01,40.26,34.89,34.61,36.31,34.0,34.97,36.46,38.0,36.01,-0.05236842105263162,0
300687.SZ,20260623,,0.0,26.3,27.25,28.8,27.16,29.92,30.87,29.77,28.16,30.35,27.91,27.09,28.32,27.05,27.45,28.16,29.53,31.0,31.22,27.16,29.77,0.09609720176730474,1
