model,ts_code,trade_date,priority_name,priority,target
h3m55d15_consensus,600403.SH,20260603,CURRENT_ONLY,2,
h3m55d15_consensus,601231.SH,20260603,CURRENT_ONLY,2,
h3m55d15_consensus,002080.SZ,20260601,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002421.SZ,20260601,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002608.SZ,20260601,KEEP60_ONLY,2,
h3m55d15_consensus,000539.SZ,20260529,KEEP60_ONLY,2,
h3m55d15_consensus,000767.SZ,20260529,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,301205.SZ,20260529,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002484.SZ,20260527,KEEP60_ONLY,2,
h3m55d15_consensus,600744.SH,20260527,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,603663.SH,20260527,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002185.SZ,20260526,KEEP60_ONLY,2,
h3m55d15_consensus,300672.SZ,20260526,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,688183.SH,20260526,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,000811.SZ,20260521,CURRENT_ONLY,2,
h3m55d15_consensus,002036.SZ,20260521,CURRENT_ONLY,2,
h3m55d15_consensus,002421.SZ,20260520,KEEP60_ONLY,2,
h3m55d15_consensus,600563.SH,20260520,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,603005.SH,20260520,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,000021.SZ,20260518,KEEP60_ONLY,2,
h3m55d15_consensus,300657.SZ,20260518,KEEP60_ONLY,2,
h3m55d15_consensus,601678.SH,20260518,KEEP60_ONLY,2,
h3m55d15_consensus,603248.SH,20260515,CURRENT_ONLY,2,
h3m55d15_consensus,603505.SH,20260515,CURRENT_ONLY,2,
h3m55d15_consensus,002254.SZ,20260514,CURRENT_ONLY,2,
h3m55d15_consensus,603118.SH,20260514,CURRENT_ONLY,2,
h3m55d15_consensus,000767.SZ,20260513,KEEP60_ONLY,2,
h3m55d15_consensus,002015.SZ,20260513,KEEP60_ONLY,2,
h3m55d15_consensus,688146.SH,20260513,KEEP60_ONLY,2,
h3m55d15_consensus,002428.SZ,20260512,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,002498.SZ,20260512,KEEP50_AND_CURRENT,1,
h3m55d15_consensus,600869.SH,20260512,KEEP60_ONLY,2,
h3m55d15_consensus,000636.SZ,20260511,KEEP60_ONLY,2,
h3m55d15_consensus,600330.SH,20260511,KEEP60_ONLY,2,
h3m55d15_consensus,688146.SH,20260511,KEEP60_ONLY,2,
